ID,learning_rate,crop_ratios,num_crops_per_image,batch_size,_target_,include_background,weight,lambda_dice,lambda_ce,expand_xy,perf_status,perf_case_count,rim_case_count,n_rim_voxels,lesion_case_count,n_lesion_voxels,perf_sensitivity,perf_specificity,perf_fpr,perf_fnr,perf_precision,perf_npv,perf_accuracy,perf_f1,perf_tp,perf_fp,perf_tn,perf_fn,perf_sensitivity_mean,perf_sensitivity_std,perf_specificity_mean,perf_specificity_std,perf_precision_mean,perf_precision_std,perf_f1_mean,perf_f1_std,perf_prl_dice_mean,perf_prl_dice_std,perf_lesion_dice_mean,perf_lesion_dice_std
roi_train2/stage3_numcrops_bkd_constwt115/run2,0.0002,none,1,1,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,194,9,2901,185,77287,0.7832,0.9594,0.0406,0.2168,0.4203,0.9916,0.9531,0.547,2272,3134,74153,629,0.7816,0.131,0.8523,0.0863,0.6854,0.1668,0.7199,0.1239,0.598,0.118,0.7878,0.0611
roi_train2/stage2_numcrops_dicece/run3,0.0002,none,2,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,192,9,2896,183,77610,0.7766,0.9647,0.0353,0.2234,0.4505,0.9914,0.9579,0.5702,2249,2743,74867,647,0.7742,0.14,0.8582,0.0923,0.6946,0.165,0.7211,0.1196,0.5932,0.1149,0.7895,0.0598
roi_train2/stage3_numcrops_bkd_constwt115/run1,0.0002,none,1,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,193,9,2892,184,76995,0.796,0.9575,0.0425,0.204,0.413,0.9921,0.9517,0.5438,2302,3272,73723,590,0.7805,0.1351,0.8518,0.089,0.6804,0.1785,0.7131,0.1279,0.5889,0.1201,0.7875,0.0592
roi_train2_t1/sweep_dicecewts/run1,0.0002,none,1,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,195,9,2848,186,79257,0.7658,0.9647,0.0353,0.2342,0.4379,0.9914,0.9578,0.5572,2181,2800,76457,667,0.7574,0.1415,0.857,0.082,0.678,0.1676,0.7074,0.1333,0.5869,0.1291,0.7949,0.0607
roi_train2/stage3_numcrops_bkd_constwt115/run4,0.0002,none,4,1,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,194,9,2870,185,79322,0.7801,0.9611,0.0389,0.2199,0.4208,0.9918,0.9548,0.5467,2239,3082,76240,631,0.7699,0.138,0.862,0.0919,0.6958,0.1744,0.7138,0.1134,0.5865,0.1028,0.7906,0.0601
roi_train2/stage2_numcrops_dicece/run4,0.0002,none,2,1,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,193,9,2950,184,80077,0.782,0.9671,0.0329,0.218,0.4665,0.9918,0.9605,0.5844,2307,2638,77439,643,0.7668,0.1535,0.8597,0.0951,0.6992,0.1681,0.7152,0.1168,0.5864,0.1061,0.7845,0.0675
roi_train2_t1/test_dicece_lambda/run1,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",0.5,1.0,none,complete,196,9,2936,187,81872,0.783,0.9657,0.0343,0.217,0.4499,0.992,0.9593,0.5715,2299,2811,79061,637,0.7622,0.1518,0.8551,0.0913,0.6878,0.1616,0.7097,0.1167,0.5858,0.1048,0.7915,0.0644
roi_train2/stage3_numcrops_bkd_constwt115/run3,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,193,9,2878,184,79062,0.7776,0.9629,0.0371,0.2224,0.433,0.9917,0.9564,0.5562,2238,2931,76131,640,0.7662,0.1498,0.8547,0.0982,0.6885,0.1706,0.7079,0.1135,0.5812,0.1059,0.7885,0.0648
roi_train2/stage5_sweep_dicecewt_nbatch/run1,0.0002,none,4,2,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,192,9,2897,183,78056,0.7908,0.9566,0.0434,0.2092,0.4036,0.9919,0.9507,0.5345,2291,3385,74671,606,0.7777,0.1421,0.848,0.1029,0.6844,0.1746,0.7076,0.1077,0.5784,0.0965,0.7845,0.0634
roi_train2/test_dicece_lambda/run1,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",0.5,1.0,none,complete,194,9,2900,185,78617,0.7928,0.9618,0.0382,0.2072,0.4338,0.9921,0.9558,0.5607,2299,3001,75616,601,0.7733,0.1505,0.8457,0.0972,0.6828,0.1614,0.7043,0.1039,0.5752,0.0925,0.7806,0.068
roi_train2/test_dicece_lambda/run1,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",0.5,1.0,none,complete,194,9,2900,185,78617,0.7928,0.9618,0.0382,0.2072,0.4338,0.9921,0.9558,0.5607,2299,3001,75616,601,0.7733,0.1505,0.8457,0.0972,0.6828,0.1614,0.7043,0.1039,0.5752,0.0925,0.7806,0.068
roi_train2/stage5_sweep_dicecewt_nbatch/run4,0.0002,none,4,2,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,192,9,2944,183,77184,0.7649,0.9648,0.0352,0.2351,0.4535,0.9908,0.9575,0.5694,2252,2714,74470,692,0.7475,0.1698,0.8569,0.1013,0.7002,0.164,0.7021,0.114,0.5687,0.0918,0.7822,0.07
roi_train2/stage7_expand/run1,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,189,9,2997,180,92926,0.7634,0.9674,0.0326,0.2366,0.4302,0.9922,0.961,0.5503,2288,3031,89895,709,0.7447,0.1836,0.8544,0.1117,0.6989,0.1708,0.6943,0.1118,0.5681,0.092,0.7791,0.0744
roi_train2/stage5_sweep_dicecewt_nbatch/run5,0.0002,none,4,2,DiceCELoss,true,"1.0,3.0,5.0",none,none,none,complete,194,9,2903,185,81185,0.7527,0.966,0.034,0.2473,0.4415,0.9909,0.9586,0.5565,2185,2764,78421,718,0.7468,0.1633,0.844,0.107,0.6771,0.1626,0.6918,0.1112,0.5582,0.1024,0.7772,0.0673
roi_train2/stage4_sweep_dicece_wts/run7,0.0002,none,1,1,DiceCELoss,true,"1.0,2.0,5.0",none,none,none,complete,192,9,2861,183,78940,0.7106,0.9736,0.0264,0.2894,0.4936,0.9893,0.9644,0.5825,2033,2086,76854,828,0.7011,0.1821,0.873,0.0919,0.7086,0.1586,0.6837,0.1186,0.5578,0.1013,0.7846,0.0742
roi_train2/run3,0.0002,none,1,1,DiceCELoss,true,none,none,none,none,complete,195,9,2744,186,80450,0.7285,0.9714,0.0286,0.2715,0.4647,0.9906,0.9634,0.5674,1999,2303,78147,745,0.7109,0.1957,0.8435,0.1142,0.6765,0.1502,0.6679,0.1136,0.5462,0.0899,0.7747,0.0766
roi_train2/stage1_crop_lr_sweep/run2,0.0002,none,2,1,DiceCELoss,true,none,none,none,none,complete,196,9,2816,187,78869,0.7159,0.9738,0.0262,0.2841,0.4934,0.9897,0.9649,0.5842,2016,2070,76799,800,0.7063,0.1998,0.8515,0.1086,0.6879,0.1513,0.6729,0.1179,0.546,0.0955,0.7757,0.0748
roi_train2/stage4_sweep_dicece_wts/run8,0.0002,none,4,1,DiceCELoss,true,"1.0,3.0,5.0",none,none,none,complete,195,9,2864,186,80880,0.7325,0.9664,0.0336,0.2675,0.4354,0.9903,0.9584,0.5461,2098,2721,78159,766,0.7168,0.1863,0.8471,0.1102,0.6754,0.1747,0.6724,0.1254,0.5454,0.1061,0.774,0.076
roi_train2/stage5_sweep_dicecewt_nbatch/run2,0.0002,none,4,2,DiceCELoss,false,"1.0,3.0,5.0",none,none,none,complete,194,9,2857,185,77923,0.7238,0.9717,0.0283,0.2762,0.4842,0.9897,0.963,0.5802,2068,2203,75720,789,0.7021,0.1953,0.8656,0.0992,0.703,0.1628,0.6752,0.1224,0.5443,0.0987,0.779,0.0727
roi_train2/stage1_crop_lr_sweep/run1,0.0001,none,2,1,DiceCELoss,true,none,none,none,none,complete,194,9,2846,185,79524,0.7316,0.9683,0.0317,0.2684,0.4522,0.9902,0.9601,0.5589,2082,2522,77002,764,0.7212,0.1879,0.8345,0.1167,0.6697,0.1501,0.6725,0.1116,0.5423,0.0909,0.7702,0.0759
roi_train2/stage4_sweep_dicece_wts/run9,0.0002,none,1,1,DiceCELoss,true,"1.0,5.0,5.0",none,none,none,complete,194,9,2895,185,81014,0.7278,0.9671,0.0329,0.2722,0.4414,0.99,0.9588,0.5496,2107,2666,78348,788,0.7222,0.1891,0.8342,0.1208,0.6642,0.1734,0.6685,0.1199,0.5359,0.104,0.7655,0.0763
roi_train2/stage1_crop_lr_sweep/run4,0.0001,"1,1,4",2,1,DiceCELoss,true,none,none,none,none,complete,195,9,2783,186,79675,0.6921,0.9716,0.0284,0.3079,0.4602,0.9891,0.9622,0.5528,1926,2259,77416,857,0.6974,0.1984,0.8526,0.1101,0.6789,0.1716,0.6655,0.1281,0.5333,0.1107,0.7792,0.0683
roi_train2/stage5_sweep_dicecewt_nbatch/run6,0.0002,none,4,2,DiceCELoss,true,"1.0,5.0,5.0",none,none,none,complete,193,9,2908,184,81875,0.7232,0.9668,0.0332,0.2768,0.4359,0.9899,0.9584,0.5439,2103,2722,79153,805,0.713,0.1972,0.8401,0.1119,0.665,0.1744,0.6639,0.1286,0.5281,0.1069,0.7658,0.0733
roi_train2/stage2_numcrops_dicece/run1,0.0002,none,2,1,DiceCELoss,true,none,none,none,none,complete,193,9,2825,184,76712,0.7041,0.9686,0.0314,0.2959,0.452,0.9889,0.9592,0.5506,1989,2411,74301,836,0.6981,0.1995,0.8399,0.1154,0.6666,0.1661,0.6587,0.1261,0.5247,0.1064,0.7696,0.0787
roi_train2/stage5_sweep_dicecewt_nbatch/run3,0.0002,none,4,2,DiceCELoss,false,"1.0,5.0,5.0",none,none,none,complete,196,9,2883,187,80452,0.7166,0.967,0.033,0.2834,0.4376,0.9896,0.9583,0.5434,2066,2655,77797,817,0.7067,0.1985,0.8395,0.118,0.6664,0.1747,0.6629,0.1309,0.5216,0.1155,0.7697,0.0761
roi_train2/stage1_crop_lr_sweep/run3,0.0005,none,2,1,DiceCELoss,true,none,none,none,none,complete,195,9,2773,186,77431,0.7003,0.9742,0.0258,0.2997,0.4929,0.9891,0.9647,0.5786,1942,1998,75433,831,0.6821,0.2356,0.8423,0.1158,0.6655,0.1685,0.6437,0.1531,0.5152,0.1209,0.771,0.0761
roi_train2/stage2_numcrops_dicece/run2,0.0002,none,2,1,DiceCELoss,false,none,none,none,none,complete,196,9,2756,187,80259,0.6651,0.9779,0.0221,0.3349,0.508,0.9884,0.9675,0.5761,1833,1775,78484,923,0.658,0.2263,0.8555,0.1167,0.6944,0.1471,0.6408,0.1288,0.5147,0.1049,0.7683,0.0822
roi_train2/stage1_crop_lr_sweep/run8,0.0002,"1,1,8",2,1,DiceCELoss,true,none,none,none,none,complete,196,9,2742,187,76473,0.698,0.9703,0.0297,0.302,0.4576,0.989,0.9609,0.5528,1914,2269,74204,828,0.6748,0.2119,0.8581,0.1058,0.681,0.1813,0.6435,0.143,0.5144,0.1146,0.7762,0.078
roi_train2/stage1_crop_lr_sweep/run9,0.0005,"1,1,8",2,1,DiceCELoss,true,none,none,none,none,complete,196,9,2740,187,79900,0.6781,0.9776,0.0224,0.3219,0.5099,0.9888,0.9677,0.5821,1858,1786,78114,882,0.6494,0.242,0.863,0.1016,0.6853,0.1524,0.6324,0.159,0.51,0.1244,0.7772,0.0788
roi_train2/stage1_crop_lr_sweep/run5,0.0002,"1,1,4",2,1,DiceCELoss,true,none,none,none,none,complete,191,9,2722,182,77514,0.6852,0.9774,0.0226,0.3148,0.5152,0.9888,0.9674,0.5881,1865,1755,75759,857,0.658,0.261,0.8569,0.1172,0.7076,0.1445,0.6305,0.1702,0.5067,0.1312,0.7725,0.084
roi_train2/stage1_crop_lr_sweep/run7,0.0001,"1,1,8",2,1,DiceCELoss,true,none,none,none,none,complete,195,9,2825,186,79398,0.7069,0.9704,0.0296,0.2931,0.4595,0.9894,0.9614,0.557,1997,2349,77049,828,0.681,0.2277,0.8409,0.1192,0.6696,0.1679,0.639,0.1389,0.5054,0.1025,0.7667,0.0825
roi_train2/stage1_crop_lr_sweep/run6,0.0005,"1,1,4",2,1,DiceCELoss,true,none,none,none,none,complete,196,9,2689,187,79299,0.6556,0.98,0.02,0.3444,0.5263,0.9882,0.9693,0.5839,1763,1587,77712,926,0.6326,0.2247,0.8689,0.0991,0.6821,0.1564,0.6249,0.1392,0.5004,0.1128,0.7787,0.0735
roi_train2/run2,0.0002,none,1,1,DiceCELoss,true,none,none,none,none,complete,197,9,2770,188,79306,0.6917,0.9678,0.0322,0.3083,0.4289,0.989,0.9585,0.5295,1916,2551,76755,854,0.6704,0.2269,0.8337,0.1206,0.6456,0.1717,0.6227,0.1503,0.4924,0.1174,0.7635,0.0811
roi_train2/run1,0.0004,none,1,1,DiceCELoss,true,none,none,none,none,complete,192,9,2662,183,133185,0.5184,0.9885,0.0115,0.4816,0.4742,0.9904,0.9793,0.4953,1380,1530,131655,1282,0.5002,0.2545,0.9043,0.084,0.7216,0.0847,0.5365,0.2,0.4114,0.1597,0.7874,0.0873
roi_train1/roi_train1_segresnet,0.0002,none,1,1,DiceCELoss,true,none,none,none,none,complete,95,5,967,90,29136,0.7373,0.9732,0.0268,0.2627,0.4769,0.9911,0.9656,0.5792,713,782,28354,254,0.509,0.3255,0.9574,0.0304,0.8555,0.1679,0.5458,0.2926,0.3641,0.299,0.6937,0.1672
